timestamp,U1,V1,W1
0,47.47,61.47,46.72
13,47.56,61.58,46.72
25,47.65,61.58,46.90
37,47.56,61.58,46.90
49,47.56,61.58,46.90
61,47.56,61.58,46.81
73,47.65,61.58,46.90
85,47.56,61.58,46.90
97,47.56,61.58,46.81
109,47.56,61.58,46.81
121,47.56,61.58,46.81
133,47.56,61.58,46.90
145,47.56,61.47,46.81
157,47.56,61.47,46.81
169,47.65,61.47,46.90
181,47.56,61.58,46.81
193,47.56,61.58,46.81
205,47.56,61.58,46.81
217,47.56,61.58,46.90
229,47.56,61.47,46.90
241,47.56,61.58,46.81
253,47.65,61.58,46.72
265,47.56,61.58,46.81
277,47.56,61.47,46.81
289,47.56,61.58,46.81
301,47.56,61.47,46.72
313,47.56,61.47,46.81
325,47.56,61.47,46.81
337,47.56,61.47,46.81
349,47.65,61.58,46.90
361,47.56,61.58,46.90
373,47.56,61.58,46.90
385,47.65,61.58,46.81
397,47.56,61.47,46.81
409,47.65,61.58,46.90
421,47.65,61.58,46.90
433,47.56,61.58,46.90
445,47.56,61.58,46.81
457,47.56,61.58,46.90
469,47.65,61.58,46.90
481,47.56,61.58,46.81
493,47.56,61.58,46.90
505,47.56,61.58,46.90
517,47.56,61.58,46.90
529,47.65,61.58,46.90
541,47.56,61.58,46.90
553,47.56,61.58,46.90
565,47.56,61.58,46.81
577,47.56,61.58,46.81
589,47.65,61.58,46.90
601,47.56,61.58,46.90
613,47.56,61.58,46.90
625,47.56,61.58,46.90
637,47.56,61.58,46.81
649,47.65,61.58,46.90
661,47.56,61.58,46.90
673,47.56,61.47,46.90
685,47.56,61.58,46.90
697,47.56,61.58,46.81
709,47.56,61.47,46.90
721,47.65,61.47,46.81
733,47.56,61.58,46.90
745,47.56,61.58,46.90
757,47.56,61.58,46.90
769,47.65,61.58,46.90
781,47.56,61.58,46.90
793,47.56,61.58,46.81
805,47.56,61.58,46.90
817,47.56,61.58,46.90
829,47.65,61.58,46.90
841,47.56,61.58,46.90
853,47.56,61.47,46.81
865,47.56,61.47,46.90
877,47.56,61.58,46.90
889,47.56,61.58,46.90
901,47.56,61.58,46.90
913,47.56,61.58,46.90
925,47.56,61.58,46.90
937,47.56,61.58,46.90
949,47.56,61.58,46.90
961,47.56,61.58,46.90
973,47.56,61.58,46.90
985,47.65,61.47,46.90
997,47.65,61.58,46.90
1009,47.65,61.58,46.90
1021,47.65,61.58,46.90
1033,47.65,61.58,46.90
1045,47.65,61.58,46.90
1057,47.56,61.58,46.90
1069,47.65,61.58,46.90
1081,47.56,61.58,46.90
1093,47.65,61.58,46.90
1105,47.56,61.58,46.90
1117,47.56,61.47,46.90
1129,47.56,61.58,46.90
1141,47.56,61.58,46.90
1153,47.65,61.58,46.90
1165,47.65,61.47,47.00
1177,47.56,61.58,46.90
1189,47.65,61.58,46.90
1201,47.56,61.58,46.90
1213,47.56,61.58,46.90
1225,47.65,61.58,46.90
