timestamp,U1,V1,W1
0,47.56,61.58,46.81
13,47.65,61.58,46.81
25,47.65,61.58,46.90
37,47.56,61.58,46.90
49,47.65,61.58,46.90
61,47.56,61.58,46.90
73,47.56,61.58,46.90
85,47.56,61.58,46.81
97,47.56,61.47,46.72
109,47.65,61.47,46.72
121,47.56,61.58,46.90
133,47.56,61.58,46.81
145,47.56,61.58,46.81
157,47.56,61.58,46.90
169,47.56,61.58,46.81
181,47.65,61.47,46.81
193,47.56,61.58,46.90
205,47.65,61.58,46.90
217,47.56,61.58,46.90
229,47.56,61.58,46.90
241,47.56,61.58,46.90
253,47.65,61.58,46.90
265,47.56,61.58,46.81
277,47.56,61.58,46.81
289,47.65,61.58,46.81
301,47.65,61.58,46.90
313,47.56,61.58,46.90
325,47.65,61.58,46.81
337,47.56,61.58,46.81
349,47.56,61.58,46.90
361,47.56,61.58,46.90
373,47.65,61.58,46.90
385,47.56,61.58,46.90
397,47.65,61.58,46.90
409,47.65,61.58,46.90
421,47.65,61.58,46.90
433,47.65,61.58,46.90
445,47.56,61.58,46.90
457,47.56,61.58,46.90
469,47.65,61.58,46.90
481,47.56,61.58,46.90
493,47.65,61.58,46.90
505,47.56,61.58,46.90
517,47.56,61.58,46.90
529,47.65,61.58,46.90
541,47.56,61.58,47.00
553,47.56,61.58,46.90
565,47.65,61.58,46.90
577,47.65,61.58,46.90
589,47.56,61.58,46.90
601,47.56,61.58,46.90
613,47.65,61.58,46.90
625,47.65,61.58,46.90
637,47.65,61.58,46.90
649,47.56,61.58,46.90
661,47.65,61.58,46.90
673,47.56,61.58,46.90
685,47.56,61.58,47.00
697,47.65,61.58,46.90
709,47.65,61.58,47.00
721,47.65,61.68,47.00
733,47.65,61.58,47.00
745,47.65,61.58,46.90
757,47.65,61.58,46.90
769,47.65,61.58,46.90
781,47.56,61.58,46.90
793,47.65,61.58,46.90
805,47.65,61.58,46.90
817,47.65,61.58,46.90
829,47.65,61.58,46.90
841,47.65,61.58,47.00
853,47.65,61.58,46.90
865,47.65,61.58,46.90
877,47.56,61.58,46.90
889,47.65,61.58,46.81
901,47.65,61.58,46.90
913,47.65,61.58,46.90
925,47.56,61.58,46.90
937,47.65,61.58,46.90
949,47.65,61.58,46.90
961,47.65,61.58,47.00
973,47.56,61.58,46.90
985,47.56,61.58,46.90
997,47.65,61.58,46.90
1009,47.65,61.58,47.00
1021,47.65,61.58,46.90
1033,47.65,61.58,46.90
1045,47.56,61.58,46.90
1057,47.56,61.58,46.90
1069,47.56,61.58,46.90
1081,47.56,61.58,46.90
1093,47.65,61.58,46.90
1105,47.65,61.58,47.00
1117,47.65,61.58,46.90
1129,47.56,61.58,46.90
1141,47.65,61.58,46.90
1153,47.65,61.58,47.00
1165,47.56,61.58,46.90
1177,47.65,61.58,46.90
1189,47.65,61.58,46.90
1201,47.65,61.58,47.00
1213,47.65,61.58,46.90
1225,47.56,61.68,46.90
1237,47.65,61.58,46.90
1249,47.65,61.68,46.90
1261,47.65,61.58,47.00
1273,47.56,61.68,47.00
1285,47.65,61.58,47.00
1297,47.65,61.58,46.90
1309,47.65,61.58,46.90
1321,47.65,61.58,46.90
1333,47.56,61.58,46.90
1345,47.65,61.58,46.90
1357,47.65,61.58,46.90
1369,47.65,61.58,46.90
1381,47.65,61.58,46.90
1393,47.65,61.58,46.90
1405,47.65,61.58,47.00
1417,47.56,61.58,46.90
1429,47.65,61.58,46.90
1441,47.65,61.58,47.00
1453,47.65,61.58,47.00
1465,47.65,61.68,46.90
1477,47.65,61.58,47.00
1489,47.65,61.58,47.00
1501,47.65,61.58,47.00
1513,47.65,61.68,47.00
1525,47.65,61.58,46.90
1537,47.65,61.68,47.00
1549,47.56,61.58,46.90
1561,47.65,61.58,46.90
1573,47.65,61.58,46.81
1585,47.65,61.58,47.00
1597,47.65,61.58,46.90
1609,47.65,61.68,46.90
1621,47.65,61.58,47.00
1633,47.65,61.68,47.00
1645,47.65,61.68,46.90
1657,47.65,61.68,47.00
1669,47.65,61.58,47.00
