timestamp,U1,V1,W1
0,47.47,326.52,47.09
13,47.47,326.52,47.09
25,47.56,326.84,47.18
37,47.56,326.84,47.18
49,47.47,326.52,47.09
61,47.56,326.52,47.09
73,47.47,326.52,47.09
85,47.56,326.52,47.09
97,47.56,326.84,47.09
109,47.56,326.84,47.09
121,47.56,326.84,47.18
133,47.47,326.52,47.18
145,47.47,326.52,47.09
157,47.56,326.52,47.09
169,47.47,326.52,47.18
181,47.47,326.84,47.18
193,47.47,326.84,47.18
205,47.56,326.84,47.09
217,47.47,326.84,47.09
229,47.56,326.84,47.09
241,47.56,326.84,47.18
253,47.56,326.84,47.09
265,47.56,326.52,47.09
277,47.47,326.52,47.09
289,47.47,326.84,47.18
301,47.47,326.52,47.18
313,47.47,326.84,47.18
325,47.56,326.52,47.09
337,47.56,326.52,47.09
349,47.56,326.52,47.09
361,47.56,326.84,47.09
373,47.56,326.84,47.09
385,47.56,326.52,47.18
397,47.56,326.84,47.09
409,47.56,326.52,47.09
421,47.56,326.52,47.18
433,47.56,326.52,47.18
445,47.56,326.52,47.18
457,47.56,326.84,47.09
469,47.56,326.52,47.09
481,47.56,326.52,47.18
493,47.56,326.84,47.09
505,47.56,326.52,47.18
517,47.56,326.84,47.18
529,47.56,326.52,47.09
541,47.56,326.52,47.18
553,47.47,326.52,47.09
565,47.56,326.52,47.18
577,47.47,326.52,47.09
589,47.56,326.52,47.18
601,47.47,326.52,47.18
613,47.47,326.84,47.09
625,47.56,326.52,47.09
637,47.56,326.52,47.09
649,47.47,326.52,47.09
661,47.56,326.52,47.09
673,47.47,326.52,47.09
685,47.56,326.52,47.09
697,47.47,326.52,47.09
709,47.56,326.84,47.09
721,47.56,326.52,47.09
733,47.47,326.52,47.18
745,47.47,326.52,47.09
757,47.47,326.52,47.09
769,47.56,326.52,47.09
781,47.47,326.20,47.09
793,47.56,326.52,47.09
805,47.56,326.52,47.18
817,47.56,326.52,47.09
829,47.56,326.52,47.18
841,47.56,326.52,47.09
853,47.47,326.52,47.09
865,47.56,326.84,47.18
877,47.56,326.84,47.09
889,47.56,326.52,47.09
901,47.56,326.52,47.18
913,47.56,326.52,47.18
925,47.56,326.52,47.09
937,47.47,326.52,47.09
949,47.56,326.52,47.18
961,47.56,326.84,47.09
973,47.47,326.84,47.18
985,47.56,326.84,47.18
997,47.56,326.84,47.18
1009,47.56,326.52,47.18
1021,47.56,326.84,47.09
1033,47.56,326.84,47.09
1045,47.47,326.52,47.09
1057,47.56,326.84,47.18
1069,47.47,326.52,47.09
1081,47.56,326.52,47.18
1093,47.47,326.52,47.09
1105,47.56,326.52,47.18
1117,47.56,326.52,47.18
1129,47.56,326.84,47.18
1141,47.56,326.84,47.18
