timestamp,U1,V1,W1
0,61.78,61.58,61.37
13,61.78,61.58,61.47
25,61.88,61.68,61.47
37,61.88,61.58,61.47
49,61.88,61.58,61.47
61,61.88,61.58,61.47
73,61.88,61.58,61.47
85,61.88,61.58,61.47
97,61.88,61.68,61.47
109,61.88,61.58,61.47
121,61.88,61.58,61.47
133,61.88,61.68,61.47
145,61.78,61.58,61.47
157,61.88,61.68,61.47
169,61.78,61.58,61.47
181,61.88,61.68,61.47
193,61.78,61.68,61.47
205,61.88,61.68,61.47
217,61.88,61.68,61.47
229,61.88,61.58,61.47
241,61.88,61.68,61.47
253,61.88,61.58,61.47
265,61.88,61.58,61.47
277,61.88,61.68,61.47
289,61.78,61.58,61.47
301,61.88,61.68,61.47
313,61.88,61.68,61.47
325,61.88,61.68,61.47
337,61.88,61.68,61.47
349,61.88,61.58,61.47
361,61.88,61.68,61.47
373,61.88,61.58,61.47
385,61.88,61.58,61.47
397,61.88,61.68,61.47
409,61.88,61.58,61.47
421,61.88,61.58,61.47
433,61.88,61.68,61.47
445,61.88,61.68,61.47
457,61.78,61.58,61.47
469,61.88,61.58,61.47
481,61.88,61.58,61.47
493,61.88,61.58,61.47
505,61.88,61.68,61.47
517,61.88,61.58,61.47
529,61.88,61.58,61.47
541,61.88,61.68,61.47
553,61.88,61.58,61.47
565,61.88,61.58,61.47
577,61.88,61.58,61.47
589,61.88,61.68,61.47
601,61.88,61.58,61.47
613,61.88,61.58,61.47
625,61.88,61.58,61.47
637,61.88,61.58,61.47
649,61.88,61.68,61.47
661,61.88,61.68,61.47
673,61.88,61.68,61.47
685,61.88,61.68,61.47
697,61.88,61.58,61.47
709,61.88,61.58,61.47
721,61.88,61.58,61.47
733,61.88,61.58,61.47
745,61.88,61.58,61.47
757,61.88,61.58,61.47
769,61.88,61.58,61.47
781,61.88,61.58,61.47
793,61.88,61.68,61.47
805,61.88,61.68,61.47
817,61.88,61.68,61.47
829,61.88,61.58,61.47
841,61.78,61.58,61.47
853,61.88,61.58,61.47
865,61.88,61.58,61.47
877,61.88,61.58,61.47
889,61.88,61.58,61.47
901,61.88,61.58,61.47
913,61.88,61.58,61.47
925,61.78,61.58,61.47
937,61.88,61.68,61.47
949,61.88,61.68,61.47
961,61.88,61.68,61.47
973,61.88,61.58,61.37
985,61.78,61.58,61.47
997,61.88,61.58,61.47
1009,61.88,61.68,61.47
1021,61.88,61.68,61.58
1033,61.88,61.68,61.47
1045,61.88,61.68,61.47
1057,61.88,61.58,61.47
1069,61.88,61.58,61.47
1081,61.88,61.58,61.47
1093,61.88,61.58,61.47
1105,61.78,61.58,61.47
1117,61.88,61.58,61.47
1129,61.88,61.68,61.47
1141,61.88,61.58,61.47
1153,61.88,61.68,61.47
1165,61.88,61.68,61.58
1177,61.88,61.68,61.47
1189,61.88,61.68,61.47
1201,61.88,61.68,61.47
1213,61.88,61.58,61.47
1225,61.78,61.68,61.47
1237,61.88,61.68,61.47
1249,61.88,61.68,61.47
1261,61.88,61.58,61.47
1273,61.88,61.58,61.47
1285,61.99,61.68,61.47
1297,61.88,61.58,61.58
1309,61.88,61.58,61.47
1321,61.88,61.68,61.58
1333,61.88,61.68,61.47
1345,61.88,61.58,61.47
1357,61.88,61.58,61.47
1369,61.88,61.58,61.47
1381,61.88,61.58,61.47
1393,61.88,61.58,61.47
1405,61.88,61.58,61.47
1417,61.88,61.58,61.47
1429,61.88,61.68,61.47
1441,61.88,61.58,61.47
1453,61.88,61.68,61.47
1465,61.88,61.68,61.58
1477,61.88,61.68,61.58
1489,61.88,61.58,61.47
1501,61.88,61.68,61.47
1513,61.88,61.58,61.47
