timestamp,U1,V1,W1
0,47.65,10.15,46.81
13,47.75,10.23,47.00
25,47.75,10.15,47.00
37,47.75,10.23,47.00
49,47.75,10.23,47.00
61,47.75,10.23,47.00
73,47.75,10.23,47.00
85,47.75,10.23,47.00
97,47.75,10.23,47.00
109,47.75,10.23,47.00
121,47.65,10.23,47.00
133,47.75,10.23,46.90
145,47.75,10.23,47.00
157,47.75,10.23,47.00
169,47.75,10.23,47.00
181,47.75,10.15,47.00
193,47.75,10.23,47.00
205,47.75,10.23,47.00
217,47.75,10.15,47.00
229,47.84,10.23,47.00
241,47.75,10.23,47.00
253,47.75,10.23,46.90
265,47.75,10.23,47.00
277,47.75,10.23,47.00
289,47.75,10.23,47.00
301,47.75,10.23,46.90
313,47.75,10.23,46.90
325,47.75,10.23,47.00
337,47.75,10.23,47.00
349,47.75,10.15,47.00
361,47.75,10.23,47.00
373,47.75,10.23,46.90
385,47.75,10.23,46.90
397,47.75,10.23,47.00
409,47.75,10.23,47.00
421,47.75,10.23,47.00
433,47.75,10.23,47.00
445,47.75,10.23,47.00
457,47.75,10.23,47.00
469,47.84,10.23,47.00
481,47.75,10.23,47.00
493,47.75,10.23,46.90
505,47.75,10.15,46.90
517,47.75,10.23,46.90
529,47.75,10.23,46.90
541,47.75,10.23,47.00
553,47.84,10.23,47.00
565,47.75,10.23,47.00
577,47.75,10.23,47.00
589,47.75,10.23,47.00
601,47.75,10.23,47.00
613,47.75,10.15,47.00
625,47.75,10.23,47.00
637,47.75,10.23,46.90
649,47.75,10.23,47.00
661,47.75,10.23,46.90
673,47.75,10.23,46.90
685,47.75,10.23,46.90
697,47.75,10.23,47.00
709,47.75,10.23,47.00
721,47.75,10.23,47.00
733,47.75,10.23,47.00
745,47.75,10.23,47.00
757,47.84,10.23,47.00
769,47.75,10.23,47.00
781,47.84,10.23,47.00
793,47.75,10.23,47.00
805,47.75,10.23,47.00
817,47.75,10.23,47.00
829,47.75,10.23,47.00
841,47.75,10.23,47.00
853,47.75,10.23,47.00
865,47.84,10.23,47.00
877,47.75,10.23,47.00
889,47.75,10.23,46.90
901,47.75,10.23,47.00
913,47.84,10.23,46.90
925,47.75,10.23,47.00
937,47.75,10.23,47.00
949,47.75,10.23,47.00
961,47.84,10.23,47.00
973,47.75,10.30,47.00
985,47.75,10.23,47.00
997,47.75,10.23,47.00
1009,47.75,10.23,47.00
1021,47.75,10.23,46.90
1033,47.75,10.23,47.00
1045,47.75,10.23,47.00
1057,47.75,10.23,47.00
1069,47.75,10.23,47.00
