timestamp,U1,V1,W1
0,331.32,47.00,47.09
13,331.64,47.00,47.09
25,331.32,47.00,47.09
37,331.64,47.00,47.18
49,331.64,47.09,47.09
61,331.32,47.09,47.09
73,331.32,47.00,47.09
85,331.64,47.00,47.18
97,331.64,47.09,47.18
109,331.64,47.00,47.09
121,331.32,47.09,47.18
133,331.64,47.09,47.09
145,331.64,47.09,47.18
157,331.97,47.00,47.09
169,331.64,47.09,47.18
181,331.64,47.00,47.18
193,331.64,47.09,47.18
205,331.64,47.00,47.18
217,331.64,47.00,47.18
229,331.64,47.00,47.18
241,331.64,47.09,47.18
253,331.64,47.09,47.18
265,331.64,47.09,47.18
277,331.64,47.09,47.18
289,331.64,47.00,47.18
301,331.64,47.09,47.18
313,331.64,47.09,47.18
325,331.64,47.00,47.18
337,331.64,47.09,47.18
349,331.64,47.09,47.18
361,331.64,47.09,47.18
373,331.97,47.09,47.18
385,331.97,47.09,47.18
397,331.64,47.00,47.18
409,331.32,47.00,47.09
421,331.32,47.09,47.18
433,331.64,47.00,47.18
445,331.64,47.09,47.18
457,331.97,47.09,47.18
469,331.97,47.09,47.18
481,331.32,47.09,47.18
493,331.64,47.09,47.18
505,331.32,47.09,47.18
517,331.97,47.00,47.18
529,331.64,47.09,47.09
541,331.32,47.00,47.09
553,331.64,47.09,47.18
565,331.32,47.09,47.09
577,331.64,47.00,47.18
589,331.64,47.09,47.18
601,331.64,47.09,47.18
613,331.64,47.09,47.18
625,331.64,47.09,47.18
637,331.64,47.00,47.18
649,331.64,47.09,47.18
661,331.64,47.09,47.18
673,331.97,47.09,47.18
685,331.64,47.09,47.18
697,331.64,47.09,47.18
709,331.64,47.09,47.28
721,331.97,47.09,47.18
733,331.97,47.09,47.18
745,331.97,47.09,47.18
757,331.97,47.09,47.18
769,331.97,47.09,47.18
781,331.64,47.09,47.18
793,331.64,47.09,47.18
805,331.64,47.09,47.18
817,331.64,47.09,47.18
829,331.97,47.09,47.18
841,331.64,47.09,47.18
853,331.64,47.00,47.18
865,331.64,47.09,47.18
877,331.64,47.00,47.18
889,331.64,47.09,47.18
901,331.64,47.00,47.18
913,331.97,47.09,47.18
925,331.64,47.09,47.18
937,331.97,47.09,47.18
949,331.64,47.09,47.18
961,331.64,47.09,47.18
973,331.97,47.09,47.18
985,331.64,47.09,47.18
997,331.64,47.09,47.18
1009,331.64,47.09,47.18
1021,331.64,47.09,47.18
1033,331.64,47.09,47.18
1045,331.64,47.09,47.18
1057,331.64,47.09,47.09
1069,331.64,47.09,47.18
1081,331.64,47.09,47.09
1093,331.64,47.09,47.18
1105,331.64,47.09,47.18
1117,331.64,47.09,47.18
1129,331.64,47.09,47.18
1141,331.97,47.09,47.18
1153,331.64,47.09,47.18
1165,331.64,47.00,47.18
1177,331.32,47.09,47.18
1189,331.64,47.09,47.18
1201,331.64,47.00,47.09
1213,331.64,47.09,47.18
1225,331.64,47.09,47.09
1237,331.64,47.09,47.18
1249,331.64,47.09,47.09
1261,331.64,47.09,47.18
1273,331.64,47.09,47.18
1285,331.64,47.09,47.18
1297,331.64,47.09,47.18
1309,331.64,47.00,47.18
1321,331.64,47.09,47.18
1333,331.64,47.09,47.18
1345,331.97,47.09,47.18
1357,331.97,47.09,47.18
1369,331.64,47.09,47.18
1381,331.64,47.00,47.18
1393,331.32,47.09,47.18
1405,331.64,47.09,47.18
1417,331.97,47.09,47.18
1429,331.64,47.09,47.18
1441,331.64,47.09,47.18
1453,331.97,47.09,47.18
1465,331.64,47.00,47.18
1477,331.64,47.09,47.18
1489,331.64,47.09,47.18
1501,331.64,47.09,47.18
1513,331.64,47.00,47.18
1525,331.64,47.09,47.18
1537,331.64,47.09,47.18
1549,331.64,47.09,47.18
1561,331.64,47.09,47.18
1573,331.64,47.00,47.18
1585,331.32,47.09,47.18
1597,331.64,47.09,47.18
1609,331.64,47.09,47.18
1621,331.64,47.09,47.18
1633,331.64,47.09,47.18
1645,331.64,47.09,47.18
1657,331.32,47.09,47.18
1669,331.32,47.09,47.18
1681,331.64,47.09,47.18
1693,331.64,47.09,47.18
1705,331.64,47.00,47.18
1717,331.64,47.09,47.18
1729,331.64,47.09,47.18
1741,331.64,47.09,47.18
1753,331.32,47.09,47.09
1765,331.64,47.09,47.18
1777,331.64,47.00,47.18
1789,331.64,47.09,47.18
1801,331.64,47.00,47.18
1813,331.64,47.09,47.18
1825,331.64,47.09,47.18
1837,331.64,47.09,47.18
1849,331.64,47.09,47.18
1861,331.64,47.09,47.18
1873,331.64,47.09,47.18
1885,331.64,47.09,47.18
1897,331.64,47.09,47.18
1909,331.97,47.09,47.18
1921,331.64,47.09,47.18
1933,331.97,47.09,47.18
1945,331.64,47.00,47.18
1957,331.64,47.09,47.18
1969,331.64,47.09,47.18
1981,331.64,47.00,47.18
1993,331.64,47.09,47.18
2005,331.64,47.09,47.18
2017,331.64,47.09,47.18
2029,331.64,47.09,47.09
2041,331.64,47.09,47.18
2053,331.64,47.09,47.18
2065,331.64,47.09,47.18
2077,331.64,47.00,47.18
2089,331.64,47.09,47.18
2101,331.64,47.09,47.18
2113,331.64,47.09,47.18
2125,331.97,47.00,47.18
2137,331.64,47.09,47.18
2149,331.64,47.09,47.18
2161,331.64,47.09,47.18
2173,331.64,47.00,47.18
2185,331.64,47.09,47.18
2197,331.32,47.00,47.18
2209,331.64,47.09,47.18
2221,331.32,47.09,47.09
2233,331.32,47.09,47.18
2245,331.64,47.00,47.18
2257,331.64,47.00,47.18
2269,331.64,47.09,47.18
2281,331.32,47.00,47.09
2293,331.32,47.00,47.18
2305,331.64,47.09,47.18
2317,331.64,47.09,47.18
2329,331.32,47.09,47.18
2341,331.32,47.00,47.18
2353,331.32,47.09,47.18
2365,331.64,47.09,47.18
2377,331.64,47.09,47.09
2389,331.64,47.09,47.09
2401,331.32,47.09,47.18
2413,331.64,47.00,47.18
2425,331.32,47.09,47.18
2437,331.64,47.09,47.18
2449,331.64,47.00,47.18
2461,331.64,47.09,47.18
2473,331.64,47.09,47.18
2485,331.32,47.09,47.18
2497,331.64,47.09,47.18
2509,331.32,47.00,47.09
2521,331.32,47.09,47.18
2533,331.32,47.09,47.18
2545,331.64,47.09,47.18
2557,331.32,47.00,47.18
2569,331.64,47.09,47.18
2581,331.64,47.00,47.18
2593,331.64,47.09,47.18
2605,331.64,47.09,47.18
2617,331.32,47.09,47.18
2629,331.64,47.09,47.18
2641,331.64,47.00,47.09
2653,331.64,47.18,47.18
2665,331.64,47.09,47.18
2677,331.64,47.09,47.09
2689,331.64,47.00,47.18
2701,331.64,47.09,47.18
2713,331.64,47.09,47.18
2725,331.97,47.09,47.18
2737,331.64,47.09,47.18
2749,331.64,47.09,47.18
2761,331.64,47.09,47.18
2773,331.64,47.09,47.18
2785,331.32,47.09,47.18
2797,331.64,47.09,47.18
2809,331.64,47.09,47.18
2821,331.64,47.09,47.18
2833,331.64,47.09,47.18
2845,331.64,47.09,47.18
2857,331.64,47.09,47.18
2869,331.64,47.09,47.18
2881,331.64,47.09,47.09
2893,331.64,47.09,47.18
2905,331.64,47.09,47.18
2917,331.64,47.09,47.18
2929,331.64,47.09,47.18
2941,331.64,47.09,47.18
2953,331.64,47.09,47.18
2965,331.64,47.09,47.18
2977,331.64,47.09,47.18
2989,331.64,47.09,47.18
3001,331.64,47.09,47.18
3013,331.64,47.09,47.18
3025,331.64,47.09,47.18
3037,331.64,47.09,47.18
3049,331.64,47.09,47.18
3061,331.64,47.09,47.18
3073,331.64,47.09,47.18
3085,331.64,47.09,47.18
3097,331.64,47.09,47.18
3109,331.64,47.09,47.18
