timestamp,U1,V1,W1
0,10.38,47.18,46.81
13,10.38,47.18,46.81
25,10.45,47.18,46.90
37,10.45,47.28,46.90
49,10.45,47.28,46.90
61,10.45,47.18,46.90
73,10.38,47.28,46.81
85,10.45,47.28,46.90
97,10.45,47.28,46.90
109,10.45,47.18,46.90
121,10.45,47.28,46.90
133,10.45,47.18,46.81
145,10.45,47.28,46.90
157,10.45,47.28,46.90
169,10.45,47.28,46.90
181,10.45,47.28,46.90
193,10.45,47.28,47.00
205,10.45,47.28,47.00
217,10.45,47.28,46.90
229,10.45,47.28,46.90
241,10.45,47.28,46.90
253,10.45,47.28,46.90
265,10.45,47.28,46.90
277,10.38,47.28,46.90
289,10.45,47.28,46.90
301,10.45,47.18,46.81
313,10.38,47.28,46.90
325,10.45,47.18,46.90
337,10.38,47.28,47.00
349,10.45,47.28,46.90
361,10.45,47.18,46.90
373,10.45,47.28,46.90
385,10.45,47.28,46.90
397,10.45,47.28,46.81
409,10.45,47.28,46.90
421,10.45,47.28,46.90
433,10.45,47.28,46.90
445,10.45,47.28,46.90
457,10.45,47.28,47.00
469,10.45,47.28,47.00
481,10.45,47.28,46.90
493,10.45,47.28,46.90
505,10.45,47.28,47.00
517,10.45,47.28,47.00
529,10.45,47.28,46.90
541,10.45,47.28,46.90
553,10.45,47.28,46.90
565,10.45,47.28,46.90
577,10.45,47.28,46.90
589,10.45,47.28,46.90
601,10.45,47.28,46.90
613,10.45,47.28,47.00
625,10.45,47.28,46.90
637,10.45,47.28,46.90
649,10.45,47.28,47.00
661,10.45,47.28,47.00
673,10.45,47.28,46.90
685,10.45,47.28,46.90
697,10.53,47.28,46.90
709,10.45,47.28,46.90
721,10.45,47.18,46.90
733,10.45,47.28,46.90
745,10.45,47.28,47.00
757,10.45,47.28,47.00
769,10.45,47.28,46.90
781,10.45,47.28,47.00
793,10.45,47.28,46.90
805,10.53,47.28,47.00
817,10.45,47.28,46.90
829,10.45,47.28,46.90
841,10.53,47.28,46.90
853,10.45,47.28,46.90
865,10.45,47.28,46.90
877,10.45,47.28,46.90
889,10.45,47.28,46.90
901,10.45,47.28,46.90
913,10.45,47.28,46.90
925,10.45,47.28,46.90
937,10.45,47.28,47.00
949,10.45,47.28,46.90
961,10.45,47.28,46.90
973,10.53,47.28,47.00
985,10.45,47.28,46.90
997,10.53,47.28,47.00
1009,10.45,47.28,47.00
1021,10.53,47.28,47.00
1033,10.45,47.28,46.90
1045,10.45,47.28,47.00
1057,10.45,47.28,47.00
1069,10.45,47.28,46.90
1081,10.45,47.18,47.00
1093,10.45,47.28,46.90
1105,10.45,47.28,47.00
1117,10.45,47.28,46.90
1129,10.45,47.28,46.90
1141,10.45,47.28,46.90
1153,10.45,47.28,46.90
1165,10.45,47.28,46.90
1177,10.45,47.28,47.00
1189,10.45,47.28,47.00
1201,10.45,47.28,46.90
1213,10.45,47.28,46.90
1225,10.53,47.28,47.00
1237,10.45,47.28,46.90
1249,10.53,47.28,47.00
1261,10.53,47.28,46.90
1273,10.45,47.28,47.00
1285,10.45,47.28,46.90
1297,10.45,47.28,46.90
1309,10.45,47.28,47.00
1321,10.53,47.28,47.00
1333,10.45,47.28,47.00
1345,10.45,47.28,46.90
1357,10.45,47.28,46.90
1369,10.45,47.28,46.90
1381,10.45,47.28,47.00
1393,10.45,47.28,47.00
1405,10.45,47.28,47.00
1417,10.45,47.18,46.90
1429,10.45,47.28,47.00
1441,10.45,47.28,47.00
1453,10.45,47.28,46.90
1465,10.53,47.28,47.00
1477,10.45,47.28,46.90
1489,10.45,47.28,47.00
1501,10.45,47.28,47.00
1513,10.45,47.28,46.90
1525,10.53,47.28,46.90
1537,10.45,47.28,46.90
1549,10.45,47.28,47.00
1561,10.53,47.28,46.90
1573,10.53,47.28,47.00
1585,10.45,47.28,47.00
1597,10.53,47.28,46.90
1609,10.45,47.28,47.00
1621,10.53,47.28,47.00
1633,10.45,47.28,46.90
1645,10.45,47.28,46.90
1657,10.45,47.28,46.90
1669,10.45,47.28,47.00
1681,10.45,47.18,46.90
1693,10.53,47.28,47.00
1705,10.53,47.28,46.90
1717,10.45,47.28,46.90
1729,10.45,47.28,46.90
1741,10.45,47.28,47.00
1753,10.45,47.28,46.81
1765,10.45,47.28,46.90
1777,10.45,47.28,46.90
1789,10.45,47.28,46.90
1801,10.45,47.18,46.90
1813,10.45,47.28,46.90
1825,10.45,47.28,46.90
1837,10.45,47.28,47.00
1849,10.53,47.28,46.90
1861,10.45,47.28,47.00
1873,10.45,47.28,46.90
1885,10.45,47.28,46.90
1897,10.45,47.28,46.90
1909,10.45,47.28,46.90
1921,10.45,47.28,46.90
1933,10.45,47.28,47.00
1945,10.45,47.28,46.90
1957,10.45,47.28,47.00
1969,10.45,47.28,47.00
1981,10.45,47.28,46.90
1993,10.45,47.28,46.90
2005,10.45,47.18,46.90
2017,10.53,47.28,46.90
2029,10.53,47.28,47.00
2041,10.45,47.28,47.00
2053,10.45,47.28,46.90
2065,10.45,47.28,46.90
2077,10.53,47.28,46.90
2089,10.45,47.28,47.00
2101,10.45,47.28,47.00
2113,10.53,47.28,46.90
2125,10.45,47.28,47.00
2137,10.45,47.37,47.00
2149,10.45,47.28,46.90
2161,10.45,47.28,46.90
2173,10.45,47.28,46.90
2185,10.45,47.28,47.00
2197,10.45,47.28,47.00
2209,10.45,47.28,46.90
2221,10.45,47.28,47.00
2233,10.45,47.28,46.90
2245,10.53,47.18,47.00
2257,10.45,47.28,47.00
2269,10.45,47.28,46.90
2281,10.45,47.28,46.90
2293,10.45,47.28,47.00
2305,10.53,47.28,47.00
2317,10.45,47.28,47.00
2329,10.45,47.28,47.00
2341,10.45,47.28,47.00
2353,10.45,47.28,46.90
2365,10.45,47.28,46.90
2377,10.45,47.28,46.90
2389,10.45,47.28,47.00
2401,10.53,47.28,46.90
2413,10.45,47.28,47.00
2425,10.45,47.28,46.90
2437,10.45,47.28,46.81
2449,10.53,47.28,47.00
2461,10.45,47.28,46.90
2473,10.45,47.28,46.90
2485,10.45,47.28,46.90
2497,10.45,47.28,46.90
2509,10.45,47.28,46.90
2521,10.45,47.28,47.00
2533,10.45,47.28,46.90
2545,10.45,47.28,46.90
2557,10.45,47.28,46.90
2569,10.45,47.28,46.90
2581,10.45,47.28,46.81
2593,10.45,47.28,46.81
2605,10.45,47.28,46.90
2617,10.45,47.28,46.90
2629,10.53,47.28,46.90
2641,10.45,47.28,46.81
2653,10.45,47.28,46.90
2665,10.45,47.28,46.90
2677,10.38,47.28,47.00
2689,10.45,47.28,46.90
2701,10.45,47.28,47.00
2713,10.45,47.28,46.90
2725,10.45,47.28,46.90
2737,10.45,47.28,46.90
2749,10.45,47.18,46.90
2761,10.45,47.28,46.90
2773,10.45,47.28,46.90
2785,10.45,47.28,47.00
2797,10.45,47.28,47.00
2809,10.45,47.28,46.90
2821,10.53,47.28,46.90
2833,10.53,47.28,47.00
2845,10.53,47.28,47.00
2857,10.45,47.28,47.00
2869,10.45,47.28,47.00
2881,10.45,47.28,47.00
2893,10.45,47.28,47.00
2905,10.45,47.28,47.00
2917,10.45,47.28,47.00
2929,10.45,47.28,47.00
2941,10.45,47.28,46.90
2953,10.53,47.28,46.90
2965,10.45,47.28,47.00
2977,10.45,47.28,47.00
2989,10.53,47.28,47.00
3001,10.45,47.28,47.00
3013,10.45,47.28,46.90
3025,10.45,47.28,46.90
3037,10.45,47.28,46.90
3049,10.45,47.28,46.90
3061,10.45,47.28,46.90
3073,10.45,47.28,47.00
3085,10.45,47.28,47.00
3097,10.45,47.28,46.90
3109,10.53,47.28,46.90
3121,10.45,47.28,46.90
3133,10.45,47.28,46.90
3145,10.45,47.28,46.90
3157,10.45,47.28,46.90
3169,10.53,47.28,46.90
3181,10.45,47.18,46.90
3193,10.45,47.28,47.00
3205,10.45,47.28,46.90
3217,10.45,47.28,47.00
3229,10.53,47.28,47.00
3241,10.45,47.28,46.90
3253,10.45,47.28,46.90
3265,10.45,47.28,47.00
3277,10.45,47.28,46.90
3289,10.45,47.28,46.90
3301,10.45,47.28,46.90
3313,10.45,47.18,46.90
3325,10.45,47.18,46.90
3337,10.45,47.28,46.90
3349,10.53,47.28,47.00
3361,10.45,47.28,47.00
3373,10.45,47.28,47.00
3385,10.45,47.28,47.00
3397,10.45,47.28,47.00
3409,10.45,47.28,46.90
3421,10.45,47.28,46.90
3433,10.45,47.28,46.90
3445,10.45,47.28,46.90
3457,10.45,47.28,47.00
3469,10.53,47.28,47.00
3481,10.45,47.28,46.90
3493,10.45,47.28,47.00
3505,10.45,47.28,46.90
3517,10.45,47.28,47.00
3529,10.45,47.28,47.00
3541,10.45,47.28,46.90
3553,10.45,47.28,46.90
3565,10.45,47.18,46.90
3577,10.45,47.28,46.90
3589,10.45,47.18,46.90
3601,10.45,47.28,46.90
3613,10.45,47.28,46.90
3625,10.45,47.28,46.90
3637,10.45,47.28,46.90
3649,10.45,47.28,46.90
3661,10.53,47.28,46.90
3673,10.45,47.28,46.81
3685,10.45,47.28,46.90
3697,10.45,47.28,46.90
3709,10.45,47.18,46.90
3721,10.45,47.28,46.90
3733,10.45,47.28,46.90
3745,10.45,47.28,46.90
3757,10.45,47.28,46.90
3769,10.45,47.28,46.90
3781,10.45,47.18,46.90
3793,10.45,47.28,46.90
3805,10.45,47.18,46.90
3817,10.38,47.28,46.90
3829,10.45,47.28,46.90
3841,10.45,47.28,46.90
3853,10.45,47.28,46.90
3865,10.45,47.18,46.90
3877,10.45,47.28,47.00
3889,10.45,47.28,46.90
3901,10.45,47.28,46.90
3913,10.45,47.28,47.00
3925,10.45,47.28,47.00
3937,10.45,47.28,46.90
3949,10.45,47.28,46.90
3961,10.45,47.28,47.00
3973,10.45,47.28,46.90
3985,10.45,47.28,47.00
3997,10.45,47.18,46.90
4009,10.45,47.18,46.90
4021,10.45,47.18,46.90
4033,10.45,47.18,46.90
4045,10.45,47.18,47.00
4057,10.45,47.18,46.90
4069,10.45,47.28,46.81
4081,10.45,47.28,46.90
4093,10.45,47.28,47.00
4105,10.45,47.28,47.00
4117,10.45,47.28,46.90
4129,10.45,47.28,46.90
4141,10.45,47.28,46.90
4153,10.45,47.28,46.90
4165,10.53,47.28,47.00
4177,10.45,47.28,46.90
4189,10.45,47.28,47.00
4201,10.45,47.28,46.90
4213,10.45,47.18,47.00
4225,10.45,47.28,46.90
4237,10.45,47.28,46.90
4249,10.45,47.28,46.90
4261,10.45,47.18,46.90
4273,10.45,47.28,46.90
4285,10.53,47.28,47.00
4297,10.53,47.28,46.90
4309,10.45,47.28,46.90
4321,10.45,47.18,47.00
4333,10.45,47.28,46.90
4345,10.45,47.28,47.00
4357,10.45,47.28,46.90
4369,10.45,47.28,46.90
4381,10.45,47.28,47.00
4393,10.45,47.28,46.90
4405,10.45,47.18,46.90
4417,10.45,47.28,46.81
4429,10.45,47.18,46.90
4441,10.45,47.28,46.90
4453,10.45,47.28,46.90
4465,10.45,47.28,47.00
4477,10.45,47.28,46.90
4489,10.45,47.18,46.90
4501,10.45,47.28,46.81
4513,10.45,47.28,46.90
4525,10.45,47.18,46.90
4537,10.45,47.28,46.90
4549,10.45,47.18,46.90
4561,10.45,47.28,46.90
4573,10.38,47.18,46.81
4585,10.45,47.18,46.81
4597,10.45,47.28,46.90
4609,10.45,47.28,46.81
4621,10.45,47.18,46.90
4633,10.45,47.18,46.90
4645,10.45,47.28,46.90
4657,10.45,47.28,46.90
4669,10.45,47.28,46.90
4681,10.45,47.18,46.90
4693,10.45,47.28,46.90
4705,10.45,47.18,46.90
4717,10.45,47.18,46.90
4729,10.45,47.28,46.90
4741,10.53,47.28,46.90
4753,10.45,47.28,46.90
4765,10.45,47.28,46.90
4777,10.45,47.28,46.90
4789,10.45,47.28,46.90
4801,10.45,47.18,47.00
4813,10.53,47.18,46.90
4825,10.45,47.18,46.90
4837,10.45,47.28,46.90
4849,10.53,47.28,46.90
4861,10.45,47.28,46.90
4873,10.45,47.28,46.90
4885,10.45,47.28,46.90
4897,10.45,47.28,46.90
4909,10.45,47.28,46.90
4921,10.53,47.28,46.90
4933,10.53,47.28,46.90
